id,name,address,latitude,longitude,source,qualifies,store_type,adequacy_tier,price_concern,quality_concern,nems_availability,nems_price,nems_quality,nems_total,nems_survey_year,nems_status,dfm_community_score,snap,wic,green_grocer,ggp18,ggp21,sq_ft_thousands,notes,reviewer_notes,last_verified
dfm-FRE210834,MEIJER RIVERTOWN MARKET,"1475 E. Jefferson, DETROIT, MI, 48207",42.334404,-83.0326,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,unknown,unknown,unknown,unknown,42.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF087700,NEW MERCHANT FOOD CENTER,"2819 E 7 MILE RD, DETROIT, MI, 48234",42.433236,-83.075176,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,unknown,17.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0. AKA: MANDY FOOD MART INC.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF085591,NEW PICK & SAVE MARKET,"7404 7 MILE RD, DETROIT, MI, 48234",42.433679,-83.031992,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,unknown,unknown,unknown,19.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0. AKA: Pick N Save Market.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF087766,PAPAYA FRUIT MARKET,"16322 W Warren, DETROIT, MI, 48228",42.343814,-83.205329,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,unknown,5.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF115910,ROYAL FRESH MARKET,"18551 W GRAND RIVER, DETROIT, MI, 48223",42.402564,-83.224213,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,yes,17.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0. AKA: Metro Foodland.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF112025,SAV-MART SUPERMARKET,"7011 GRATIOT AVE, DETROIT, MI, 48207",42.372708,-83.019837,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,unknown,11.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0. AKA: SAVE-MART SUPERMARKET INC.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF116819,SAVE A LOT,"15001 HOUSTON-WHITTIER, DETROIT, MI, 48205",42.421042,-82.967079,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,unknown,18.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF110349,SAVE A LOT,"4703 CONNER ST, DETROIT, MI, 48215",42.38741,-82.971206,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,unknown,18.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0. AKA: Conner Foods Inc.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF073892,SEVEN MILE FOODS,"8139 E SEVEN MILE, DETROIT, MI, 48234",42.434357,-83.021497,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,yes,yes,unknown,unknown,14.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0. AKA: 7 MILE FOODS INC.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF054985,SEVEN STAR FOOD CENTER INC,"11500 E MCNICHOLS, DETROIT, MI, 48205",42.419658,-83.005291,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,unknown,15.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF074457,SUPERLAND MARKET,"17021 SCHOOLCRAFT, DETROIT, MI, 48227",42.38645,-83.214216,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,unknown,4.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF095120,U.S. QUALITY FOOD CENTER,"15690 Joy Rd, DETROIT, MI, 48228",42.359206,-83.199084,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,unknown,11.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF085741,VALUE SAVE FOOD CENTER,"14470 LIVERNOIS, DETROIT, MI, 48238",42.395235,-83.139736,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,unknown,19.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0. AKA: Valu Save Food Center.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF092405,VERNOR FOOD CENTER,"8801 W VERNOR, DETROIT, MI, 48209",42.308623,-83.133497,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,unknown,8.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRE112387,WHOLE FOODS MARKET,"115 MACK AVE, DETROIT, MI, 48201",42.348536,-83.056572,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,unknown,yes,unknown,unknown,21.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-63,DETROIT PEOPLE'S FOOD CO-OP,"8324 Woodward Ave, DETROIT, MI, 48202",42.377128,-83.077315,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,,yes,yes,unknown,unknown,unknown,,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
ex-cvs,CVS Pharmacy (exclusion example),"Detroit, MI",42.3315,-83.0465,Manual review,False,pharmacy,excluded,unknown,unknown,,,,,,not_applicable,,unknown,unknown,no,no,no,,Excluded: pharmacy — not a grocery trip destination.,Excluded: pharmacy — not a grocery trip destination.,2026-09-17
